400.0000	18.0000
451.5000	32.8333
487.5000	68.8333
563.5000	82.1667
635.5000	84.8333
682.1666	119.5000
720.8334	154.1667
726.1666	204.8333
774.1666	251.5000
819.5000	227.5000
839.5000	171.5000
899.5000	164.8333
918.1667	110.1667
966.1667	95.5000
1042.1667	112.8333
1071.5000	156.8333
1135.5000	156.8333
1176.8333	119.5000
1215.5000	90.1667
1282.1667	91.5000
1359.5000	99.5000
1432.8334	94.1667
1503.5000	86.1667
1592.8334	82.1667
1650.1666	60.8333
1700.8334	15.5000
1860.8334	7.5000
1872.8334	64.8333
1876.8334	123.5000
1907.5000	178.1667
1492.8334	359.5000
1458.1666	334.1667
1436.8334	354.1667
1460.8334	400.8333
1479.5000	456.8333
1471.5000	518.1666
1515.5000	552.8333
1582.1666	543.5000
1638.1666	528.8333
1607.5000	478.1667
1600.8334	430.1667
1583.5000	396.8333
1526.1666	410.1667
1286.1667	307.5000
1248.8333	271.5000
1186.1667	258.1667
1140.8333	263.5000
1142.1667	308.8333
1162.1667	356.8333
1195.5000	383.5000
1227.5000	418.1667
1275.5000	395.5000
1282.1667	358.1667
758.1666	310.1667
732.8334	358.1667
762.1666	398.1667
795.5000	364.8333
434.1667	96.8333
388.8333	139.5000
414.1667	179.5000
479.5000	174.1667
494.1667	127.5000
376.8333	575.5000
731.5000	756.8333
791.5000	763.5000
760.8334	812.8333
712.8334	788.8333
112.8333	854.1667
166.1667	872.8333
218.1667	894.1667
251.5000	944.8333
292.8333	996.8333
366.1667	1010.1667
399.5000	964.8333
422.1667	899.5000
499.5000	879.5000
587.5000	867.5000
635.5000	900.8333
678.1666	968.8333
747.5000	1018.1667
796.8334	1068.8334
855.5000	1024.8333
911.5000	948.8333
992.8334	951.5000
1074.1666	943.5000
1142.1667	896.8333
1136.8334	851.5000
1147.5000	784.8333
1151.5000	739.5000
1212.8334	782.1667
1274.1667	792.8333
1272.8334	858.1667
1243.5000	926.1667
1234.1667	996.8333
1302.1667	998.1667
1363.5000	939.5000
1424.8334	912.8333
1470.1667	871.5000
1524.8334	888.8333
1544.8334	950.1667
1512.8334	1007.5000
1562.1667	1044.8334
1620.8334	1008.8333
1671.5000	958.1667
1728.8334	927.5000
1755.5000	967.5000
1767.5000	1020.8333
1826.1667	1046.1666
1872.8334	1020.8333
1904.8334	943.5000
82.1667	916.8333
60.8333	964.8333
35.5000	1032.8334
